"","gene_name","hi_mean","lo_mean","FC","hi_SD","lo_SD","estimate","statistic","p.value","parameter","conf.low","conf.high","method","alternative"
"21","GSDME",0.977650782222561,5.11033167182894,0.191308675249383,0.0146353925697079,43.7572732656935,-4.13268088960638,-1.66020167864725,0.0978915801550289,308.000033799237,-9.03079644743407,0.765434668221307,"Welch Two Sample t-test","two.sided"
"22","FASLG",0.86946867557931,4.46166738121005,0.194875278968801,5.10916349434243,39.3122319164964,-3.59219870563074,-1.59963302680568,0.110688519657148,313.113818809051,-8.01064941957539,0.826252008313907,"Welch Two Sample t-test","two.sided"
"23","ZEB2",0.672761418320549,3.44654649849699,0.19519870647732,3.53382716582233,20.4426091476699,-2.77378508017644,-2.36786076171814,0.018491006605487,317.061333405932,-5.07854500034674,-0.469025160006149,"Welch Two Sample t-test","two.sided"
"24","FBLN5",1.79486846728308,9.11504761636898,0.196912681406054,10.9339536849055,72.7533453527874,-7.3201791490859,-1.75895862285115,0.0795559127823769,314.843007061673,-15.5083492644502,0.867990966278388,"Welch Two Sample t-test","two.sided"
"25","RBMS3",1.00627540170186,5.04753298677192,0.199359846550583,0.751605333337743,40.3185049229461,-4.04125758507007,-1.76179082598648,0.0790963418727805,308.104999780605,-8.55482162258809,0.472306452447957,"Welch Two Sample t-test","two.sided"
"26","ZFP3",1.90690533600832,9.56283049033175,0.199408045341413,13.5260479114426,89.7441458321134,-7.65592515432343,-1.49129925694727,0.136884042667071,314.88231845022,-17.7566708896701,2.44482058102328,"Welch Two Sample t-test","two.sided"
"27","F2RL1",0.960502293441468,4.71394429295486,0.203757667411762,0.115685142399191,46.781163640412,-3.75344199951339,-1.41038369108924,0.15943552179659,308.001847617661,-8.99005434684691,1.48317034782013,"Welch Two Sample t-test","two.sided"
"28","TGFBI",1.19790156455823,5.87816128941232,0.203788481734224,7.51757015568033,48.6939191522697,-4.6802597248541,-1.67977333706687,0.0939921850983776,315.222185773526,-10.1622470307334,0.801727581025235,"Welch Two Sample t-test","two.sided"
"29","C1orf162",0.668928568652587,3.20614594104496,0.208639463378441,3.46710655982659,17.5115247140851,-2.53721737239237,-2.5227694436202,0.012128015354051,319.899588364714,-4.5158920541358,-0.558542690648941,"Welch Two Sample t-test","two.sided"
"30","HKDC1",1.51292149415357,7.22272904726196,0.209466738161401,9.29905469250108,50.1838902750849,-5.70980755310839,-1.98339799187915,0.0481816881358808,318.417165470942,-11.3736812761332,-0.0459338300836061,"Welch Two Sample t-test","two.sided"
"31","DHRS3",0.930708086481123,4.34261280203754,0.214319841281829,7.17956892138739,33.1741049164079,-3.41190471555642,-1.78749506271588,0.0747972000769842,322.230596545755,-7.16711615790518,0.343306726792348,"Welch Two Sample t-test","two.sided"
